"V1";"V2"
"Dana Rohrabacher";"Rohrabacher"
"Jon Huntsman";"Huntsman"
"Henry Paulson";"Paulson"
"Richard Haass";"Haass"
"John Kelly";"Kelly"
"Jack Keane";"Keane"
"Lee Raymond";"Raymond"
"Joe Lieberman";"Lieberman"
"Joe Manchin";"Manchin"
"Tony Blinken";"Blinken"
"Alan Mulally";"Mulally"
"Patrick Kennedy";"Kennedy"
"Heather Higginbottom";"Higginbottom"
"Will the first 2016 presidential debate be the most watched debate ever?";"Will 1st debate be most watched debate ever?"
"Will Obama's Gallup approval be 49% or higher for August 16-18?";"Obama's Gallup at 49+ 8/16-8/18?"
"52.5% or higher";"52.5+"
"52.0% - 52.4%";"52.0-52.4"
"51.5% - 51.9%";"51.5-51.9"
"50.9% or lower";"50.9-"
"29.5% or higher";"29.5+"
"29.0% - 29.4%";"29.0-29.4"
"27.9% or lower";"27.9-"
"Will national polling give Gary Johnson at least 8% in a 4-way race on August 31?";"Johnson polling at 8+% in 4-way race on 8/31?"
"Will national polling give Jill Stein at least 3% in a 4-way race on August 31?";"Stein polling at 3+% in 4-way race on 8/31?"
"Will Liz Cheney win the Republican primary in Wyoming's at-large Congressional District?";"Will Liz Cheney win WY congressional primary?"
"Will Paul Manafort be Trump's campaign chairman on Sept. 30?";"Will Manafort be running Trump campaign on Sept. 30?"
"Will Trump's favorable rate be at least 33.0% on August 31?";"Trump's favorable rate 33+ on 8/31?"
"Will Clinton’s favorable rate be at least 42.0% on August 31?";"Clinton’s favorable rate 42+ on 8/31?"
"Bo Dietl";"Dietl"
"Anthony Weiner";"Weiner"
"Christine Quinn";"Quinn"
"Scott Stringer";"Stringer"
"Paul Massey";"Massey"
"Donald Trump, Jr.";"Trump, Jr."
"John Catsimatidis";"Catsimatidis"
"Eric Ulrich";"Ulrich"
"Shaun Donovan";"Donovan"
"Eric Adams";"Adams"
"Hakeem Jeffries";"Jeffries"
"Rubén Díaz, Jr.";"Díaz"
"Michel Faulkner";"Faulkner"
"Letitia James";"James"
"Will Congress ratify the Trans-Pacific Partnership in 2016?";"TPP ratified by Congress this year?"
"Will Obama's Gallup approval be 52% or higher for August 23-25?";"Obama's Gallup at 52+ 8/23-8/25?"
"B1) $3M or more";"3M or more"
"B2) $2.5M to $2,999,999.99";"2.5M up to 3M"
"B5) Below $1.5M";"Below 1.5M"
"B4) $1.5M to $1,999,999.99";"1.5M up to 2M"
"B3) $2M to $2,499,999.99";"2M up to 2.5M"
"B4) $50M to $59,999,999.99";"50M up to 60M"
"B3) $60M to $69,999,999.99";"60M up to 70M"
"B5) Below $50M";"Below 50M"
"B2) $70M to $79,999,999.99";"70M up to 80M"
"B1) $80M or more";"80M or more"
"B3) $40M to $49,999,999.99";"40M up to 50M"
"B2) $50M to $59,999,999.99";"50M up to 60M"
"B4) $30M to $39,999,999.99";"30M up to 40M"
"B1) $60M or more";"60M or more"
"B4) $1M to $1,499,999.99";"1M up to 1.5M"
"B5) Below $1M";"Below 1M"
"B3) $1.5M to $1,999,999.99";"1.5M up to 2.0M"
"B2) $2M to $2,499,999.99";"2M up to 2.5M"
"B1) $2.5M or more";"2.5M or more"
"28.0% - 28.4%";"28.4"
"Will Clinton drop out by September 30?";"Will Clinton drop out by September 30?"
"Will Trump drop out by September 30?";"Will Trump drop out by September 30?"
"3 or fewer";"3-"
"7 or more";"7+"
"0";"0"
"1";"1"
"4 or more";"4+"
"50.4% or lower";"50.4-"
"52.0% or higher";"52.0+"
"Will Obama's Gallup approval be 48% or higher for August 30 - September 1?";"Obama's Gallup at 48+ 8/30-9/1?"
"Will Reince Priebus announce resignation as RNC chair by November 30?";"Will Priebus resign by November 30?"
"B5) Clinton 3.9%-, tied or Trump up";"HRC +3.9% & <"
"Will Clinton’s favorable rate be at least 41.0% on September 15?";"Clinton’s favorable rate 41+ on 9/15?"
"Will Trump's favorable rate be at least 34.0% on September 15?";"Trump's favorable rate 34+ on 9/15?"
"Will national polling give Gary Johnson at least 8% in a 4-way race on September 15?";"Johnson polling at 8+% in 4-way race on 9/15?"
"Will national polling give Jill Stein at least 3% in a 4-way race on September 15?";"Stein polling at 3+% in 4-way race on 9/15?"
"Will Gov. Paul LePage resign or be impeached in 2016?";"LePage out in 2016?"
"Political protest of national anthem on September 12?";"Political protest of national anthem on September 12?"
"Will Trump say ""Crooked Hillary"" in the first debate?";"Will Trump say ""Crooked Hillary"" in the first debate?"
"Emmanuel Macron";"Macron"
"François Hollande";"Hollande"
"Nicolas Sarkozy";"Sarkozy"
"Marine Le Pen";"Le Pen"
"François Fillon";"Fillon"
"Alain Juppé";"Juppé"
"Bruno Le Maire";"Le Maire"
"Manuel Valls";"Valls"
"Arnaud Montebourg";"Montebourg"
"Jean-Luc Mélenchon";"Mélenchon"
"François Bayrou";"Bayrou"
"Benoît Hamon";"Hamon"
"François Baroin";"Baroin"
"Nicolas Dupont-Aignan";"Dupont-Aignan"
"François Asselineau";"Asselineau"
"Will Emperor Akihito abdicate in 2016?";"Will Emperor Akihito abdicate in 2016?"
"B6) 2-4 percentage points";"2-4%"
"B7) 0-2 percentage points";"0-2%"
"B5) 4-6 percentage points";"4-6%"
"B4) 6-8 percentage points";"6-8%"
"B1) 12 percentage points or more";"12%+"
"B2) 10-12 percentage points";"10-12%"
"B3) 8-10 percentage points";"8-10%"
"Will Obama's Gallup approval be 51% or higher for September 6 - 8?";"Obama's Gallup at 51+ 9/6-9/8?"
"B2) 12 - 13 million";"12-13M"
"B1) Less than 12 million";"<12M"
"B3) 13 - 14 million";"13-14M"
"B5) 15 million or more";"15M+"
"B4) 14 - 15 million";"14-15M"
"Duncan D. Hunter";"Hunter"
"Ash Carter";"Carter"
"Jim Talent";"Talent"
"Stephen Hadley";"Hadley"
"Jon Kyl";"Kyl"
"Michael Meese";"Meese"
"Jim Woolsey";"Woolsey"
"Will the federal government shut down on October 3?";"Government shutdown on 10/3?"
"B4) 30-34";"30-34"
"B1) 45 or more";"45+"
"B3) 35-39";"35-39"
"B2) 40-44";"40-44"
"B5) 29 or fewer";"29-"
"Andrej Plenkovic";"Plenkovic"
"Zoran Milanovic";"Milanovic"
"Božo Petrov";"Petrov"
"Sigmar Gabriel";"Gabriel"
"Frank-Walter Steinmeier";"Steinmeier"
"Martin Schulz";"Schulz"
"Wolfgang Schäuble";"Schäuble"
"Frauke Petry";"Petry"
"Thomas de Maizière";"de Maizière"
"Ursula Von der Leyen";"Von der Leyen"
"Christian Lindner";"Lindner"
"Horst Seehofer";"Seehofer"
"Cem Özdemir";"Özdemir"
"Katja Kipping";"Kipping"
"Hannelore Kraft";"Kraft"
"Peter Altmaier";"Altmaier"
"Olaf Scholz";"Scholz"
"Jens Spahn";"Spahn"
"Leif-Erik Holm";"Holm"
"Karl-Theodor zu Guttenberg";"Guttenberg"
"Alexander Gauland";"Gauland"
"Alice Weidel";"Weidel"
"04";"04"
"14";"14"
"15";"15"
"16";"16"
"12";"12"
"13";"13"
"11";"11"
"10";"10"
"09";"09"
"08";"08"
"07";"07"
"06";"06"
"05";"05"
"03";"03"
"02";"02"
"01";"01"
"00";"00"
"Will a Hofstra debate moderator ask about Benghazi?";"Benghazi at first debate?"
"B2) 200,000 - 249,999";"200k up to 250k"
"B1) Fewer than 200,000";"< 200k"
"B3) 250,000 - 299,999";"250k up to 300k"
"B4) 300,000 - 349,999";"300k up to 350k"
"B5) 350,000 - 399,999";"350k up to 400k"
"B6) 400,000 or more";"400k+"
"Will Obama's Gallup approval be 51% or higher for September 13 - 15?";"Obama's Gallup at 51+ 9/13-9/15?"
"Steven Mnuchin";"Mnuchin"
"Henry Kravis";"Kravis"
"Jack Lew";"Lew"
"Gary Gensler";"Gensler"
"Lael Brainard";"Brainard"
"Sheryl Sandberg";"Sandberg"
"Sarah Bloom Raskin";"Raskin"
"Jamie Dimon";"Dimon"
"Wilbur Ross";"Ross"
"Thomas Barrack";"Barrack"
"Tim Pawlenty";"Pawlenty"
"Kevin Warsh";"Warsh"
"Gerry Parsky";"Parsky"
"Jonathan Gray";"Gray"
"David McCormick";"McCormick"
"Ben Bernanke";"Bernanke"
"John Allison";"Allison"
"Adam Szubin";"Szubin"
"Will Johnson drop out by September 30?";"Will Johnson drop out by September 30?"
"Will Stein drop out by September 30?";"Will Stein drop out by September 30?"
"Will Enrique Peña Nieto remain president of Mexico through September 30, 2016?";"Will Peña Nieto last through September?"
"Will Arizona voters approve minimum wage initiative in 2016?";"Will AZ approve minimum wage initiative?"
"Will Arizona voters approve marijuana legalization initiative in 2016?";"Will AZ approve marijuana legalization initiative?"
"Will Obama veto JASTA?";"Will Obama veto JASTA?"
"Will there be a sanctioned presidential debate on September 26?";"Will there be a debate on 9/26?"
"Will United Russia win 250+ seats?";"Will United Russia win 250+ seats?"
"B1) Clinton +1.0% or more";"HRC 1.0+"
"B5) Trump +1.0% or more";"DJT 1.0+"
"B3) Tied";"Tied"
"B2) Clinton +0.1% to 0.9%";"HRC 0.1-0.9"
"Will the U.S. House impeach IRS Commissioner John Koskinen by September 30?";"Will the House impeach Koskinen by 9/30?"
"Will Obama pardon Edward Snowden or commute his sentence?";"Will Obama pardon Snowden?"
"Will national polling give Jill Stein at least 3% in a 4-way race on September 30?";"Stein polling at 3+% in 4-way race on 9/30?"
"Will national polling give Gary Johnson at least 9% in a 4-way race on September 30?";"Johnson polling at 9+% in 4-way race on 9/30?"
"Will Clinton’s favorable rate be at least 42.0% on September 30?";"Clinton’s favorable rate 42+ on 9/30?"
"Will Trump's favorable rate be at least 39.0% on September 30?";"Trump's favorable rate 39+ on 9/30?"
"B5) Clinton 0.9%-, tied or Trump up";"HRC +0.9% & <"
"Will the U.S. House pass the partial Dodd-Frank repeal bill?";"Will House pass partial Dodd-Frank repeal bill?"
"Will a Hofstra debate moderator ask about ""basket of deplorables""?";"Basket of deplorables at first debate?"
"Will a Hofstra debate moderator ask about ""pneumonia""?";"Pneumonia at first debate?"
"Will Obama's Gallup approval be 52% or higher for September 20 - 22?";"Obama's Gallup at 52+ 9/20-9/22?"
"Janet Napolitano";"Napolitano"
"Eric Schneiderman";"Schneiderman"
"Preet Bharara";"Bharara"
"Kris Kobach";"Kobach"
"Henry McMaster";"McMaster"
"Pam Bondi";"Bondi"
"Dana Boente";"Boente"
"B6) Clinton 3.9%-, tied or Trump up";"HRC +3.9% & <"
"B5) Clinton +4.0% to 4.9%";"HRC 4.0-4.9"
"28.5% or higiher";"28.5+"
"26.9% or lower";"26.9-"
"Will Luiz Inácio Lula da Silva be imprisoned in 2016?";"Will Lula be imprisoned in 2016?"
"B5) Less than 10%";"< 10%"
"B4) 10% - 15%";"10-15%"
"B3) 15% - 20%";"15-20%"
"B2) 20% - 25%";"20-25%"
"B1) 25% or more";"25%+"
"B3) $50M to $54,999,999.99";"50M up to 55M"
"B2) $55M to $59,999,999.99";"55M up to 60M"
"B5) Below $45M";"Below 45M"
"B4) $45M to $49,999,999.99";"45M up to 50M"
"B5) Below $750k";"Below 750k"
"B4) $750k to $999,999.99";"750k up to 1M"
"B1) $1.5M or more";"1.5M or more"
"B3) $1M to $1,249,999.99";"1M up to 1.25M"
"B2) $1.25M to $1,499,999.99";"1.25M up to 1.5M"
"B5) Below $4M";"Below 4M"
"B3) $5M to $5,999,999.99";"5M up to 6M"
"B4) $4M to $4,999,999.99";"4M up to 5M"
"B2) $6M to $6,999,999.99";"6M up to 7M"
"B1) $7M or more";"7M or more"
"B4) Clinton +0.9%- or tied";"HRC 0.9- & ="
"B5) Trump +0.1% to 0.9%";"DJT 0.1-0.9"
"B6) Trump +1.0% to 1.9%";"DJT 1.0-1.9"
"B7) Trump +2.0% to 2.9%";"DJT 2.0-2.9"
"B8) Trump +3.0% or more";"DJT 3.0+"
"Will a Hofstra debate moderator ask about ""Blind Trust""?";"Blind Trust at first debate?"
"Will a Hofstra debate moderator ask about ""birther""?";"Birther at first debate?"
"Will a Hofstra debate moderator ask about ""alt-right""?";"Alt-right at first debate?"
"Will Ted Cruz endorse Trump for president before Election Day?";"Will Cruz endorse Trump before Election Day?"
"Will John Kasich endorse Trump for president before Election Day?";"Will Kasich endorse Trump before Election Day?"
"Will Obama's Gallup approval be 52% or higher for September 27 - 29?";"Obama's Gallup at 52+ 9/27-9/29?"
"B5) 50.2% - 50.4%";"50.2-50.4"
"B9) 49.2% or lower";"49.2-"
"B8) 49.3% - 49.5%";"49.3-49.5"
"B7) 49.6% - 49.8%";"49.6-49.8"
"B6) 49.9% - 50.1%";"49.9-50.1"
"B4) 50.5% - 50.7%";"50.5-50.7"
"B3) 50.8% - 51.0%";"50.8-51.0"
"B2) 51.1% - 51.3%";"51.1-51.3"
"B1) 51.4% or higher";"51.4+"
"B3) 80.0 - 89.9 million";"80.0 - 89.9 M"
"B1) 100.0 million or more";"100 M+"
"B4) 70.0 - 79.9 million";"70.0 - 79.9 M"
"B2) 90.0 - 99.9 million";"90.0 - 99.9 M"
"B5) 60.0 - 69.9 million";"60.0 - 69.9 M"
"B6) 59.9 million or fewer";"59.9 M-"
"Will Congress enact Zika funding by September 30?";"Zika funding in September?"
"Will Chris Christie be impeached in 2016?";"Will Christie be impeached in 2016?"
"Will a VP debate moderator ask about ""national debt""?";"Moderator asks about ""National debt"" at the debate?"
"Will a VP debate moderator ask about ""sanctuary cities""?";"Moderator asks about “sanctuary cities” at the debate?"
"Will a VP debate moderator ask about ""tax returns""?";"Moderator asks about “tax returns” at the debate?"
"Will a VP debate moderator ask about ""religious liberty""?";"Moderator asks about “religious liberty” at the debate?"
"Will Clinton drop out by October 31?";"Will Clinton drop out by October 31?"
"Will Trump drop out by October 31?";"Will Trump drop out by October 31?"
"Will Stein drop out by October 31?";"Will Stein drop out by October 31?"
"Will Johnson drop out by October 31?";"Will Johnson drop out by October 31?"
"Will a VP debate moderator or candidate mention ""campaign finance reform""?";"""Campaign finance reform"" at VP debate?"
"Will a VP debate moderator or candidate mention ""Obamacare""?";"""Obamacare"" at VP debate?"
"Will a VP debate moderator or candidate mention ""EpiPen""?";"""EpiPen"" at VP debate?"
"Nathalie Kosciusko-Morizet";"Kosciusko-Morizet"
"Will a VP debate moderator or candidate mention ""Charlotte""?";"""Charlotte"" at VP debate?"
"Will a VP debate moderator or candidate mention ""transgender""?";"""Transgender"" at VP debate?"
"Will a VP debate moderator ask about the “Clinton Foundation”?";"Moderator asks about ""Clinton Foundation"" at the debate?"
"Will a VP debate moderator ask about the “Trump Foundation”?";"Moderator asks about ""Trump Foundation"" at the debate?"
"B4) 40.0 - 49.9 million";"40.0 - 49.9 M"
"B3) 50.0 - 59.9 million";"50.0 - 59.9 M"
"B5) 39.9 million or fewer";"39.9 M-"
"B2) 60.0 - 69.9 million";"60.0 - 69.9 M"
"B1) 70.0 million or more";"70 M+"
"Will Trump's favorable rate be at least 37.0% on October 7?";"Trump's favorable rate 37+ on 10/7?"
"Will Clinton’s favorable rate be at least 41.5% on October 7?";"Clinton’s favorable rate 41.5+ on 10/7?"
"B6) Trump +1.0% or more";"DJT 1.0+"
"B4) Tied";"Tied"
"B3) Clinton +0.1% to 0.9%";"HRC 0.1-0.9"
"B6) Clinton ahead";"HRC 0.1+"
"B1) Trump +3.0% or more";"DJT 3.0+"
"B5) Tied";"Tied"
"Will Obama's Gallup approval be 51% or higher for October 4 - 6?";"Obama's Gallup at 51+ 10/4-10/6?"
"13.9% or lower";"13.9-"
"15.0% - 15.4%";"15.0-15.4"
"15.5% or higher";"15.5+"
"Will Bill Weld endorse Hillary Clinton before Election Day?";"Will Weld endorse Clinton before Election Day?"
"Will national polling give Gary Johnson at least 7.5% in a 4-way race on October 15?";"Johnson polling at 7.5+% in 4-way race on 10/15?"
"Will national polling give Jill Stein at least 2.5% in a 4-way race on October 15?";"Stein polling at 2.5+% in 4-way race on 10/15?"
"Will JASTA be amended in 2016?";"Will JASTA be amended in 2016?"
"B1) Clinton +4.5% or more";"HRC 4.5+"
"B2) Clinton +4.0% to 4.4%";"HRC 4.0-4.4"
"B3) Clinton +3.5% to 3.9%";"HRC 3.5-3.9"
"B4) Clinton +3.0% to 3.4%";"HRC 3.0-3.4"
"B5) Clinton +2.5% to 2.9%";"HRC 2.5-2.9"
"B6) Clinton 2.4%-, tied or Trump up";"HRC +2.4% & <"
"B3) 75.0 - 79.9 million";"75.0 - 79.9 M"
"B4) 70.0 - 74.9 million";"70.0 - 74.9 M"
"B2) 80.0 - 84.9 million";"80.0 - 84.9 M"
"B1) 85.0 million or more";"85 M+"
"B5) 65.0 - 69.9 million";"65.0 - 69.9 M"
"B6) 64.9 million or fewer";"64.9 M-"
"Moniz and/or Salehi";"Moniz, Salehi"
"The White Helmets (Syrian Civil Defense)";"White Helmets"
"Svetlana Gannushkina";"Gannushkina"
"Banyere, Bindu, and/or Mukwege";"Banyere, Bindu, Mukwege"
"Edward Snowden";"Snowden"
"Will Italian voters pass a constitutional referendum in 2016?";"Italian constitutional referendum passed in 2016?"
"Will a WUSL debate moderator mention “Putin""?";"Moderator mentions ""Putin"" at WUSL debate?"
"Will a WUSL debate moderator mention “China""?";"Moderator mentions ""China"" at WUSL debate?"
"Will Clinton use the phrase “You're hired” at the WUSL debate?";"Clinton says ""You're hired"" at WUSL debate?"
"Will Trump use the phrase “Crooked Hillary” at the WUSL debate?";"Trump says ""Crooked Hillary"" at WUSL debate?"
"Will a WUSL debate moderator or candidate mention “Wikileaks""?";"""Wikileaks"" at WUSL debate?"
"Will a WUSL debate moderator mention “gun control""?";"Moderator mentions ""gun control"" at WUSL debate?"
"Will a WUSL debate moderator or candidate mention “Wall Street""?";"""Wall Street"" at WUSL debate?"
"Will North Carolina repeal police camera bill in 2016?";"Will NC repeal police camera bill in 2016?"
"Will Supreme Court agree to hear transgender bathroom case by year-end?";"Will Supreme Court hear transgender bathroom case?"
"Will a WUSL debate moderator mention “Syria""?";"Moderator mentions ""Syria"" at WUSL debate?"
"B2) 51.8% - 52.1%";"51.8-52.1"
"B1) 52.2% or higher";"52.2+"
"B3) 51.4% - 51.7%";"51.4-51.7"
"B4) 51.0% - 51.3%";"51.0-51.3"
"B5) 50.6% - 50.9%";"50.6-50.9"
"B6) 50.2% - 50.5%";"50.2-50.5"
"B7) 50.1% or lower";"50.1-"
"Will Obama's Gallup approval be 52% or higher for October 11 - 13?";"Obama's Gallup at 52+ 10/11-10/13?"
"Will Clinton’s favorable rate be at least 43.5% on October 14?";"Clinton’s favorable rate 43.5+ on 10/14?"
"Will Trump's favorable rate be at least 38.0% on October 14?";"Trump's favorable rate 38+ on 10/14?"
"B4) Clinton +1.5% to 1.9%";"HRC 1.5-1.9"
"B5) Clinton +1.4%-, tied or Trump up";"HRC 1.4 & <"
"B3) Clinton +2.0% to 2.4%";"HRC 2.0-2.4"
"B2) Clinton +2.5% to 2.9%";"HRC 2.5-2.9"
"B3) Clinton +1.0% to 1.4%";"HRC 1.0-1.4"
"B2) Clinton +1.5% to 1.9%";"HRC 1.5-1.9"
"B4) Clinton +0.5% to 0.9%";"HRC 0.5-0.9"
"B5) Clinton +0.4%-, tied or Trump up";"HRC 0.4 & <"
"Will a WUSL debate moderator or candidate mention “Common Core""?";"""Common Core"" at WUSL debate?"
"Will a WUSL debate moderator mention “NAFTA""?";"Moderator mentions ""NAFTA"" at WUSL debate?"
"Will Pence drop out by October 31?";"Will Pence drop out by October 31?"
"Will Ted Cruz withdraw his Trump endorsement?";"Will Cruz withdraw Trump endorsement?"
"Will Marco Rubio withdraw his Trump endorsement?";"Will Rubio withdraw Trump endorsement?"
"Will Trump or Clinton lead by double-digits by October 21?";"Trump or Clinton double-digit lead by 10/21?"
"Will Trump say the name “Broaddrick” at the WUSL debate?";"Trump says ""Broaddrick"" at WUSL debate?"
"Will a WUSL debate moderator mention “Podesta""?";"Moderator mentions ""Podesta"" at WUSL debate?"
"29.4% or lower";"29.4-"
"31.0% or higher";"31.0+"
"30.5% - 30.9%";"30.5-30.9"
"30.0% - 30.4%";"30.0-30.4"
"29.5% - 29.9%";"29.5-29.9"
"Will Kellyanne Conway be Donald Trump's campaign manager on November 7?";"Will Conway be Trump campaign manager on 11/7?"
"Will Republicans control the House in January?";"Will GOP keep the House?"
"B5) 64.9 million or fewer";"64.9 M-"
"B4) 65.0 - 69.9 million";"65.0 - 69.9 M"
"B3) 70.0 - 74.9 million";"70.0 - 74.9 M"
"B2) 75.0 - 79.9 million";"75.0 - 79.9 M"
"B1) 80.0 million or more";"80 M+"
"Will Clinton and Trump shake hands before the UNLV debate?";"Handshake before UNLV debate?"
"Will Reince Priebus withdraw his Trump endorsement?";"Will Priebus withdraw Trump endorsement?"
"Will Iceland's Pirate Party win a plurality?";"Will Iceland's Pirate Party win a plurality?"
"Will Barbara Comstock be re-elected to the House of Representatives from Virginia's 10th district?";"Will Barbara Comstock be re-elected to Congress?"
"B3) Dems +4.0% to 4.9%";"D 4.0-4.9"
"B4) Dems +3.0% to 3.9%";"D 3.0-3.9"
"B1) Dems +6.0% or more";"D 6.0+"
"B2) Dems +5.0% to 5.9%";"D 5.0-5.9"
"B5) Dems 2.9%-, tied or GOP up";"D 2.9 & <"
"Will a UNLV debate moderator say “lock her up""?";"Moderator says ""lock her up"" at UNLV debate?"
"Will a UNLV debate moderator or candidate mention “Paul Ryan""?";"""Paul Ryan"" mentioned at UNLV debate?"
"Will national polling give Gary Johnson at least 6.5% in a 4-way race on October 31?";"Johnson polling at 6.5+% in 4-way race on 10/31?"
"Will national polling give Jill Stein at least 2.0% in a 4-way race on October 31?";"Stein polling at 2.0+% in 4-way race on 10/31?"
"Will a UNLV debate moderator or candidate mention “Evan McMullin""?";"""Evan McMullin"" mentioned at UNLV debate?"
"Will a UNLV debate moderator or candidate mention ""John Podesta""?";"""John Podesta"" mentioned at UNLV debate?"
"Will a UNLV debate moderator say “Merrick Garland""?";"Moderator says ""Merrick Garland"" at UNLV debate?"
"Will a UNLV debate moderator say ""retirement age""?";"Moderator says ""retirement age"" at UNLV debate?"
"Will Obama's Gallup approval be 53% or higher for October 18 - 20?";"Obama's Gallup at 53+ 10/18-10/20?"
"B4) 51.8% - 52.1%";"51.8-52.1"
"B1) 53.0% or higher";"53.0+"
"B2) 52.6% - 52.9%";"52.6-52.9"
"B3) 52.2% - 52.5%";"52.2-52.5"
"B5) 51.4% - 51.7%";"51.4-51.7"
"B6) 51.0% - 51.3%";"51.0-51.3"
"B7) 50.9% or lower";"50.9-"
"Will Trump's favorable rate be at least 36.0% on October 21?";"Trump's favorable rate 36+ on 10/21?"
"Will Clinton’s favorable rate be at least 43.0% on October 21?";"Clinton’s favorable rate 43.0+ on 10/21?"
"B6) Trump ahead";"DJT 0.1+"
"B4) Clinton +0.1% to 0.9%";"HRC 0.1-0.9"
"B5) Clinton 6.9%-, tied or Trump up";"HRC +6.9% & <"
"B1) Clinton +10.0% or more";"HRC 10.0+"
"B2) Clinton +9.0% to 9.9%";"HRC 9.0-9.9"
"B3) Clinton +8.0% to 8.9%";"HRC 8.0-8.9"
"B4) Clinton +7.0% to 7.9%";"HRC 7.0-7.9"
"B2) Clinton +4.0% to 4.9%";"HRC 4.0-4.9"
"B5) Clinton +1.9%-, tied or Trump up";"HRC 1.9 & <"
"B4) Clinton +2.0% to 2.9%";"HRC 2.0-2.9"
"B3) Clinton +3.0% to 3.9%";"HRC 3.0-3.9"
"B1) Clinton +5.0% or more";"HRC 5.0+"
"B5) Clinton +0.9%-, tied or Trump up";"HRC 0.9 & <"
"Will Utah polling give Evan McMullin at least 20.0% in a 5-way race on October 24?";"McMullin at 20+% in UT on 10/24?"
"30.0% or higher";"30.0+"
"28.4% or lower";"28.4-"
"Will Trump say ""Crooked Hillary"" at the UNLV debate?";"Trump says ""Crooked Hillary"" at UNLV debate?"
"Will a UNLV debate moderator or candidate mention ""open borders""?";"""Open borders"" mentioned at UNLV debate?"
"Will a UNLV debate moderator say “rigged""?";"Moderator says ""rigged"" at UNLV debate?"
"Will Darrell Issa be re-elected to the House of Representatives from California's 49th district?";"Will Darrell Issa be re-elected to Congress?"
"Will Jennifer Palmieri be Hillary Clinton’s communication director on November 7?";"Will Palmieri be HRC comms director on 11/7?"
"Rumen Radev";"Radev"
"Tsetska Tsacheva";"Tsacheva"
"Krasimir Karakachanov";"Karakachanov"
"National";"National"
"Labour";"Labour"
"NZ First";"NZ First"
"Green";"Green"
"David Shulkin";"Shulkin"
"Tammy Duckworth";"Duckworth"
"Sloan Gibson";"Gibson"
"Robert McDonald";"McDonald"
"Jeff Miller";"Miller"
"Pete Hegseth";"Hegseth"
"Allen West";"West"
"Michelle Howard";"Howard"
"Ann Dunwoody";"Dunwoody"
"Thad Allen";"Allen"
"Toby Cosgrove";"Cosgrove"
"Luis Quinonez";"Quinonez"
"Angela Salinas";"Salinas"
"Leo Mackay";"Mackay"
"Paul Rothman";"Rothman"
"John Noseworthy";"Noseworthy"
"Joseph Guzman";"Guzman"
"Nancy Schlichting";"Schlichting"
"Haraz Ghanbari";"Ghanbari"
"Jenean Hampton";"Hampton"
"Robert Snyder";"Snyder"
"Alejandro Mayorkas";"Mayorkas"
"Claire McCaskill";"McCaskill"
"David Clarke";"Clarke"
"Michael McCaul";"McCaul"
"Joe Arpaio";"Arpaio"
"Frances Townsend";"Townsend"
"John Katko";"Katko"
"Will Trump or Clinton lead by double-digits by October 28?";"Trump or Clinton double-digit lead by 10/28?"
"B5) Clinton +5.0% to 5.9%";"HRC 5.0-5.9"
"B6) Clinton 4.9%-, tied or Trump up";"HRC 4.9 & <"
"Will Evan McMullin win Utah in the 2016 presidential election?";"Will McMullin win UT?"
"Will a UNLV debate moderator or candidate mention ""Veritas""?";"""Veritas"" mentioned at UNLV debate?"
"Will Gov. Andrew Cuomo resign in 2016?";"Cuomo resignation in 2016?"
"Will Clinton’s favorable rate be at least 43.0% on October 28?";"Clinton’s favorable rate 43.0+ on 10/28?"
"Will Trump's favorable rate be at least 35.0% on October 28?";"Trump's favorable rate 35+ on 10/28?"
"Mitch McConnell";"McConnell"
"Chuck Schumer";"Schumer"
"Dick Durbin";"Durbin"
"John Cornyn";"Cornyn"
"Will DC voters approve the statehood referendum in 2016?";"Will DC approve statehood referendum in 2016?"
"Will Clinton or Trump concede the presidential election by November 9?";"Clinton or Trump concession by 11/9?"
"Will Obama's Gallup approval be 55% or higher for October 25 - 27?";"Obama's Gallup at 55+ 10/25-10/27?"
"B2) 52.2% - 52.5%";"52.2-52.5"
"B1) 52.6% or higher";"52.6+"
"B3) 51.8% - 52.1%";"51.8-52.1"
"B4) 51.4% - 51.7%";"51.4-51.7"
"B5) 51.0% - 51.3%";"51.0-51.3"
"B6) 50.6% - 50.9%";"51.0-50.9"
"B7) 50.5% or lower";"50.5-"
"B2) Trump +1.0% to 1.9%";"DJT 1.0-1.9"
"B1) Trump +2.0% or more";"DJT 2.0+"
"B3) Trump +0.1% to 0.9%";"DJT 0.1-0.9"
"B6) Clinton +1.0% or more";"HRC 1.0+"
"B5) Clinton +0.1% to 0.9%";"HRC 0.1-0.9"
"B5) Clinton +2.9%-, tied or Trump up";"HRC 2.9 & <"
"Mitchell Schwartz";"Schwartz"
"Frantz Pierre";"Pierre"
"Monty Markland";"Markland"
"Steve Barr";"Barr"
"B4) Dems +3.5% to 3.9%";"D 3.5-3.9"
"B5) Dems 3.4%-, tied or GOP up";"D 3.4 & <"
"B3) Dems +4.0% to 4.4%";"D 4.0-4.4"
"B2) Dems +4.5% to 4.9%";"D 4.5-4.9"
"B1) Dems +5.0% or more";"D 5.0+"
"Will Utah polling give Evan McMullin at least 30.0% in a 5-way race on October 31?";"McMullin at 30+% in UT on 10/31?"
"Will Trump make 10+ totally false statements in October?";"10+ Trump false statements in October?"
"Will any presidential candidate’s popular vote exceed 50%? ";"Will any presidential candidate top 50%?"
