"V1";"V2";"V3";"V4"
"What will Obama's average job approval be at end of day July 17?";"Obama's average approval on July 17?";"47.0% or higher";"47+"
"What will Obama's average job approval be at end of day July 17?";"Obama's average approval on July 17?";"46.5% - 46.9%";"46.5-46.9"
"What will Obama's average job approval be at end of day July 17?";"Obama's average approval on July 17?";"45.5% - 45.9%";"45.5-45.9"
"Will ""right direction"" poll at 31%+ on July 17?";"Direction of country at 31%+ on July 17?";"Will ""right direction"" poll at 31%+ on July 17?";"Direction of country at 31%+ on July 17?"
"Will Congressional job approval be at least 16% on July 17?";"Congressional approval at 16%+ on July 17?";"Will Congressional job approval be at least 16% on July 17?";"Congressional approval at 16%+ on July 17?"
"Will Puerto Rico file for bankruptcy in 2015?";"Puerto Rico to go bankrupt?";"Will Puerto Rico file for bankruptcy in 2015?";"Puerto Rico to go bankrupt?"
"Will Alexis Tsipras remain Greek prime minister through year-end?";"Will Tsipras last the year?";"Will Alexis Tsipras remain Greek prime minister through year-end?";"Will Tsipras last the year?"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Bobby Jindal";"Jindal"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Lindsey Graham";"Graham"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Rick Perry";"Perry"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Rick Santorum";"Santorum"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"George Pataki";"Pataki"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Donald Trump";"Trump"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Carly Fiorina";"Fiorina"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Mike Huckabee";"Huckabee"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Scott Walker";"Walker"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Chris Christie";"Christie"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"John Kasich";"Kasich"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Rand Paul";"Paul"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Marco Rubio";"Rubio"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Ted Cruz";"Cruz"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Ben Carson";"Carson"
"Who will be the first Republican candidate to drop out?";"Which Republican will drop out first?";"Jeb Bush";"Bush"
"Which party will win the gubernatorial race in West Virginia in 2016?";"Which party will win the WV governor race?";"Democratic";"Democratic"
"Which party will win the gubernatorial race in West Virginia in 2016?";"Which party will win the WV governor race?";"Republican";"Republican"
"Which party will win the gubernatorial race in West Virginia in 2016?";"Which party will win the WV governor race?";"Other";"Other"
"Will the Labor Department pass a final rule restricting overtime exemptions?";"Will Labor adopt new overtime rules?";"Will the Labor Department pass a final rule restricting overtime exemptions?";"Will Labor adopt new overtime rules?"
"Will ""right direction"" poll at 30.5%+ on July 24?";"Direction of country at 30.5%+ on July 24?";"Will ""right direction"" poll at 30.5%+ on July 24?";"Direction of country at 30.5%+ on July 24?"
"Will Congressional job approval be at least 15.5% on July 24?";"Congressional approval at 15.5%+ on July 24?";"Will Congressional job approval be at least 15.5% on July 24?";"Congressional approval at 15.5%+ on July 24?"
"What will Obama's average job approval be at end of day July 24?";"Obama's average approval on July 24?";"45.0% - 45.4%";"45.0-45.4"
"What will Obama's average job approval be at end of day July 24?";"Obama's average approval on July 24?";"44.4% or lower";"44.4-"
"What will Obama's average job approval be at end of day July 24?";"Obama's average approval on July 24?";"46.0% or higher";"46.0+"
"What will Obama's average job approval be at end of day July 24?";"Obama's average approval on July 24?";"45.5% - 45.9%";"45.5-45.9"
"What will Obama's average job approval be at end of day July 24?";"Obama's average approval on July 24?";"44.5% - 44.9%";"44.5-44.9"
"What will Obama's Gallup job approval be for July 21-23?";"Obama's Gallup approval for July 21-23?";"46%";"46"
"What will Obama's Gallup job approval be for July 21-23?";"Obama's Gallup approval for July 21-23?";"45%";"45"
"What will Obama's Gallup job approval be for July 21-23?";"Obama's Gallup approval for July 21-23?";"44% or lower";"44-"
"What will Obama's Gallup job approval be for July 21-23?";"Obama's Gallup approval for July 21-23?";"47%";"47"
"What will Obama's Gallup job approval be for July 21-23?";"Obama's Gallup approval for July 21-23?";"48% or higher";"48+"
"Will Congress override the Iran nuclear deal?";"Will Congress reject Iran deal?";"Will Congress override the Iran nuclear deal?";"Will Congress reject Iran deal?"
"Will Congress reauthorize the Export-Import Bank by the end of August?";"Will Congress reauthorize Ex-Im Bank by end of August?";"Will Congress reauthorize the Export-Import Bank by the end of August?";"Will Congress reauthorize Ex-Im Bank by end of August?"
"Will Pedro Passos Coelho win re-election as prime minister of Portugal?";"Will Coelho remain Portugese PM?";"Will Pedro Passos Coelho win re-election as prime minister of Portugal?";"Will Coelho remain Portugese PM?"
"What will Obama's average job approval be at end of day July 31?";"Obama's average approval on July 31?";"45.5% or higher";"45.5+"
"What will Obama's average job approval be at end of day July 31?";"Obama's average approval on July 31?";"45.0% - 45.4%";"45.0-45.4"
"What will Obama's average job approval be at end of day July 31?";"Obama's average approval on July 31?";"44.5% - 44.9%";"44.5-44.9"
"What will Obama's average job approval be at end of day July 31?";"Obama's average approval on July 31?";"44.0% - 44.4%";"44.0-44.4"
"What will Obama's average job approval be at end of day July 31?";"Obama's average approval on July 31?";"43.9% or lower";"43.9-"
"Will ""right direction"" poll at 30.5%+ on July 31?";"Direction of country at 30.5%+ on July 31?";"Will ""right direction"" poll at 30.5%+ on July 31?";"Direction of country at 30.5%+ on July 31?"
"Will congressional job approval be at least 15% on July 31";"Congressional approval at 15%+ on July 31?";"Will congressional job approval be at least 15% on July 31";"Congressional approval at 15%+ on July 31?"
"Will Obama's Gallup approval be 45% or higher for July 28-30?";"Obama's Gallup approval 45+ for July 28-30?";"Will Obama's Gallup approval be 45% or higher for July 28-30?";"Obama's Gallup approval 45+ for July 28-30?"
"Will Chris Christie participate in the Fox News debate?";"Will Christie be in the Fox debate?";"Will Chris Christie participate in the Fox News debate?";"Will Christie be in the Fox debate?"
"Will John Kasich participate in the Fox News debate?";"Will Kasich be in the Fox debate?";"Will John Kasich participate in the Fox News debate?";"Will Kasich be in the Fox debate?"
"Will Rick Perry participate in the Fox News debate?";"Will Perry be in the Fox debate?";"Will Rick Perry participate in the Fox News debate?";"Will Perry be in the Fox debate?"
"Will Carly Fiorina participate in the Fox News debate?";"Will Fiorina be in the Fox debate?";"Will Carly Fiorina participate in the Fox News debate?";"Will Fiorina be in the Fox debate?"
"Will Rick Santorum participate in the Fox News debate?";"Will Santorum be in the Fox debate?";"Will Rick Santorum participate in the Fox News debate?";"Will Santorum be in the Fox debate?"
"Will Bobby Jindal participate in the Fox News debate?";"Will Jindal be in the Fox debate?";"Will Bobby Jindal participate in the Fox News debate?";"Will Jindal be in the Fox debate?"
"Will Donald Trump become a third party presidential candidate this year?";"Will Trump run as a third-party candidate?";"Will Donald Trump become a third party presidential candidate this year?";"Will Trump run as a third-party candidate?"
"Will the DOJ open a criminal investigation into Clinton's email this year?";"Will DOJ investigate Clinton email?";"Will the DOJ open a criminal investigation into Clinton's email this year?";"Will DOJ investigate Clinton email?"
"Will legislation be enacted this year, stripping certain federal funds from sanctuary cities?";"Will sanctuary cities lose federal funding?";"Will legislation be enacted this year, stripping certain federal funds from sanctuary cities?";"Will sanctuary cities lose federal funding?"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Ben Carson";"Carson"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"John Kasich";"Kasich"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Rand Paul";"Paul"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Marco Rubio";"Rubio"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Carly Fiorina";"Fiorina"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Bobby Jindal";"Jindal"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Rick Santorum";"Santorum"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Rick Perry";"Perry"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Chris Christie";"Christie"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Ted Cruz";"Cruz"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Mike Huckabee";"Huckabee"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Scott Walker";"Walker"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Jeb Bush";"Bush"
"Which candidate will see the best polling impact from the Fox debate?";"Who will win the Fox debate?";"Donald Trump";"Trump"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Jeb Bush";"Bush"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Scott Walker";"Walker"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Ted Cruz";"Cruz"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Ben Carson";"Carson"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Carly Fiorina";"Fiorina"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Bobby Jindal";"Jindal"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Rick Santorum";"Santorum"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Rick Perry";"Perry"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"John Kasich";"Kasich"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Chris Christie";"Christie"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Rand Paul";"Paul"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Mike Huckabee";"Huckabee"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Marco Rubio";"Rubio"
"Which candidate will see the worst polling impact from the Fox debate?";"Who will lose the Fox debate?";"Donald Trump";"Trump"
"Will any candidate out-trend Trump on Twitter on the day of the Fox debate?";"Will anyone out-trend Trump at the Fox debate?";"Will any candidate out-trend Trump on Twitter on the day of the Fox debate?";"Will anyone out-trend Trump at the Fox debate?"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Donald Trump";"Trump"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Jeb Bush";"Bush"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Scott Walker";"Walker"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Marco Rubio";"Rubio"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Mike Huckabee";"Huckabee"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Ben Carson";"Carson"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Ted Cruz";"Cruz"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Rand Paul";"Paul"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Chris Christie";"Christie"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"John Kasich";"Kasich"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Rick Perry";"Perry"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Rick Santorum";"Santorum"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Bobby Jindal";"Jindal"
"Which candidate will get the most speaking time at the Fox debate?";"Who will get the most speaking time at the Fox debate?";"Carly Fiorina";"Fiorina"
"Will Obama's Gallup approval be 45% or higher for August 4-6?";"Obama's Gallup approval 45+ for August 4-6?";"Will Obama's Gallup approval be 45% or higher for August 4-6?";"Obama's Gallup approval 45+ for August 4-6?"
"Will Erdogan call for an early election by the end of August?";"Will Turkey have a snap election?";"Will Erdogan call for an early election by the end of August?";"Will Turkey have a snap election?"
"Will Obamacare approval be at least 42.5% at the end of August?";"Obamacare approval at 42.5%+ at end of August?";"Will Obamacare approval be at least 42.5% at the end of August?";"Obamacare approval at 42.5%+ at end of August?"
"Will primary polling give Bush at least 15% on August 31?";"Bush polling at 15+% on August 31?";"Will primary polling give Bush at least 15% on August 31?";"Bush polling at 15+% on August 31?"
"Will primary polling give Walker at least 15% on August 31?";"Walker polling at 15+% on August 31?";"Will primary polling give Walker at least 15% on August 31?";"Walker polling at 15+% on August 31?"
"Will primary polling give Clinton at least 60% on August 31?";"Clinton polling at 60+% on August 31?";"Will primary polling give Clinton at least 60% on August 31?";"Clinton polling at 60+% on August 31?"
"Will primary polling give someone other than Clinton at least 15% on August 31?";"Any non-Clinton polling at 15+% on August 31?";"Will primary polling give someone other than Clinton at least 15% on August 31?";"Any non-Clinton polling at 15+% on August 31?"
"Will ""right direction"" poll at 29%+ on August 7?";"Direction of country at 29%+ on August 7?";"Will ""right direction"" poll at 29%+ on August 7?";"Direction of country at 29%+ on August 7?"
"Will congressional job approval be at least 16% on August 7?";"Congressional approval at 16%+ on August 7?";"Will congressional job approval be at least 16% on August 7?";"Congressional approval at 16%+ on August 7?"
"Will primary polling give Trump at least 20% on August 31?";"Trump polling at 20+% on August 31?";"Will primary polling give Trump at least 20% on August 31?";"Trump polling at 20+% on August 31?"
"What will Obama's average job approval be at end of day August 7?";"Obama's average approval on August 7?";"44.9% or lower";"44.9-"
"What will Obama's average job approval be at end of day August 7?";"Obama's average approval on August 7?";"45.0% - 45.4%";"45.0-45.4"
"What will Obama's average job approval be at end of day August 7?";"Obama's average approval on August 7?";"45.5% - 45.9%";"45.5-45.9"
"What will Obama's average job approval be at end of day August 7?";"Obama's average approval on August 7?";"46.0% - 46.4%";"46.0-46.4"
"What will Obama's average job approval be at end of day August 7?";"Obama's average approval on August 7?";"46.5% or higher";"46.5+"
"Will accused lion poacher Walter Palmer be extradited to Zimbabwe this year?";"Will Palmer be extradited to Zimbabwe?";"Will accused lion poacher Walter Palmer be extradited to Zimbabwe this year?";"Will Palmer be extradited to Zimbabwe?"
"Will Obama's Gallup approval be 45% or higher for August 11-13?";"Obama's Gallup approval 45+ for August 11-13?";"Will Obama's Gallup approval be 45% or higher for August 11-13?";"Obama's Gallup approval 45+ for August 11-13?"
"Will ""right direction"" poll at 29%+ on August 14?";"Direction of country at 29%+ on August 14?";"Will ""right direction"" poll at 29%+ on August 14?";"Direction of country at 29%+ on August 14?"
"Will congressional job approval be at least 17% on August 14?";"Congressional approval at 17%+ on August 14?";"Will congressional job approval be at least 17% on August 14?";"Congressional approval at 17%+ on August 14?"
"What will Obama's average job approval be at end of day August 14?";"Obama's average approval on August 14?";"45.0% - 45.4%";"45.0-45.4"
"What will Obama's average job approval be at end of day August 14?";"Obama's average approval on August 14?";"43.9% or lower";"43.9-"
"What will Obama's average job approval be at end of day August 14?";"Obama's average approval on August 14?";"44.5% - 44.9%";"44.5-44.9"
"What will Obama's average job approval be at end of day August 14?";"Obama's average approval on August 14?";"44.0% - 44.4%";"44.0-44.4"
"What will Obama's average job approval be at end of day August 14?";"Obama's average approval on August 14?";"45.5% or higher";"45.5+"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Mike Pence";"Pence"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Carly Fiorina";"Fiorina"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Susana Martinez";"Martinez"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Marco Rubio";"Rubio"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Scott Walker";"Walker"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"John Kasich";"Kasich"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Donald Trump";"Trump"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Chris Christie";"Christie"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Lindsey Graham";"Graham"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rick Perry";"Perry"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Bobby Jindal";"Jindal"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Kelly Ayotte";"Ayotte"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rob Portman";"Portman"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Nikki Haley";"Haley"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Joni Ernst";"Ernst"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Bob Ehrlich";"Ehrlich"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rick Snyder";"Snyder"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Ted Cruz";"Cruz"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Condoleezza Rice";"Rice"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Mike Huckabee";"Huckabee"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Ben Carson";"Carson"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Jeb Bush";"Bush"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Paul Ryan";"Ryan"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Mia Love";"Love"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Jim Webb";"Webb"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Newt Gingrich";"Gingrich"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Sarah Palin";"Palin"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"David Petraeus";"Petraeus"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"John Hagelin";"Hagelin"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Jeff Sessions";"Sessions"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Neel Kashkari";"Kashkari"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Carl Icahn";"Icahn"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rick Scott";"Scott"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Mark Cuban";"Cuban"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Bob Corker";"Corker"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"John Thune";"Thune"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Dan Coats";"Coats"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Duncan Hunter";"Hunter"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"James Mattis";"Mattis"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Scott Brown";"Brown"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Mary Fallin";"Fallin"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Renee Ellmers";"Ellmers"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Jan Brewer";"Brewer"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"John Barrasso";"Barrasso"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Marsha Blackburn";"Blackburn"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rand Paul";"Paul"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Tom Cotton";"Cotton"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"John Bolton";"Bolton"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Tom Ridge";"Ridge"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Cathy McMorris Rodgers";"McMorris Rodgers"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rick Santorum";"Santorum"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Rudy Giuliani";"Giuliani"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Michael Flynn";"Flynn"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Tommy Franks";"Franks"
"Who will win the 2016 Republican vice presidential nomination?";"Who will be the 2016 Republican VP nominee?";"Ivanka Trump";"Ivanka Trump"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Tim Kaine";"Kaine"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Hillary Clinton";"Clinton"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Jim Webb";"Webb"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Bill de Blasio";"de Blasio"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Lincoln Chafee";"Chafee"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Martin O'Malley";"O'Malley"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Bernie Sanders";"Sanders"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Jerry Brown";"Brown"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Elizabeth Warren";"Warren"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Julian Castro";"Julian Castro"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Joaquin Castro";"Joaquin Castro"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Deval Patrick";"Patrick"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Cory Booker";"Booker"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Evan Bayh";"Bayh"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Tom Vilsack";"Vilsack"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Mark Warner";"Warner"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Anthony Foxx";"Foxx"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Xavier Becerra";"Becerra"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Tom Perez";"Perez"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Tulsi Gabbard";"Gabbard"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Sherrod Brown";"Brown"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Wesley Clark";"Clark"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Terry McAuliffe";"McAuliffe"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Ed Rendell";"Rendell"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Mark Dayton";"Dayton"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Al Franken";"Franken"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"John Kerry";"Kerry"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"John Hickenlooper";"Hickenlooper"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Mark Cuban";"Cuban"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Joe Biden";"Biden"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Eric Garcetti";"Garcetti"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Tim Ryan";"Ryan"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"Mike Bloomberg";"Bloomberg"
"Who will win the 2016 Democratic vice presidential nomination?";"Who will be the 2016 Democratic VP nominee?";"James Stavridis";"Stavridis"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Jim Webb";"Webb"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Jerry Brown";"Brown"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Bill de Blasio";"de Blasio"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Hillary Clinton";"Clinton"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Bernie Sanders";"Sanders"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Joe Biden";"Biden"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Martin O'Malley";"O'Malley"
"Who will be the first Democrat candidate to drop out?";"Which Democrat will drop out first?";"Lincoln Chafee";"Chafee"
"Will Al Gore become a presidential candidate by August 31?";"Will Gore be a candidate by August 31?";"Will Al Gore become a presidential candidate by August 31?";"Will Gore be a candidate by August 31?"
"Will ""right direction"" poll at 29%+ on August 21?";"Direction of country at 29%+ on August 21?";"Will ""right direction"" poll at 29%+ on August 21?";"Direction of country at 29%+ on August 21?"
"Will congressional job approval be at least 16.5% on August 21?";"Congressional approval at 16.5%+ on August 21?";"Will congressional job approval be at least 16.5% on August 21?";"Congressional approval at 16.5%+ on August 21?"
"What will Obama's average job approval be at end of day August 21?";"Obama's average approval on August 21?";"44.4% or lower";"44.4-"
